Player,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
57,Gabriel Martinelli,br BRA,FW,Arsenal,22-121,2001,6,5,401,4.5,1,2,3,1,0,0,0,0,0.8,0.8,0.4,1.1,18,15,56,0.22,0.45,0.67,0.22,0.67,0.17,0.08,0.25,0.17,0.25,Matches
58,Gabriel Jesus,br BRA,FW,Arsenal,26-197,1997,6,3,297,3.3,1,0,1,1,0,0,2,0,1.5,1.5,0.2,1.7,10,10,24,0.3,0,0.3,0.3,0.3,0.45,0.06,0.51,0.45,0.51,Matches
59,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-335,1997,8,8,704,7.8,1,1,2,1,0,0,4,0,0.8,0.8,1.1,1.9,12,55,10,0.13,0.13,0.26,0.13,0.26,0.1,0.14,0.24,0.1,0.24,Matches
60,Emerson,br BRA,DF,Tottenham,24-276,1999,5,1,114,1.3,1,0,1,1,0,0,0,0,0,0,0,0,9,9,3,0.79,0,0.79,0.79,0.79,0.03,0,0.03,0.03,0.03,Matches
61,Matheus Cunha,br BRA,FW,Wolves,24-143,1999,8,8,630,7,1,1,2,1,0,0,0,0,2,2,1,3,20,12,21,0.14,0.14,0.29,0.14,0.29,0.28,0.15,0.42,0.28,0.42,Matches
62,Casemiro,br BRA,MF,Manchester Utd,31-236,1992,8,8,648,7.2,1,0,1,1,0,0,1,0,1.8,1.8,0.3,2.1,8,55,24,0.14,0,0.14,0.14,0.14,0.25,0.04,0.29,0.25,0.29,Matches
63,João Pedro,br BRA,"MF,FW",Brighton,22-021,2001,8,3,416,4.6,2,1,3,1,1,1,1,0,2.6,1.8,1.3,3.1,17,17,38,0.43,0.22,0.65,0.22,0.43,0.56,0.28,0.83,0.39,0.66,Matches
64,Douglas Luiz,br BRA,MF,Aston Villa,25-161,1998,8,8,669,7.4,3,0,3,1,2,2,4,0,2.3,0.7,0.5,1.3,13,46,19,0.4,0,0.4,0.13,0.13,0.31,0.07,0.38,0.1,0.17,Matches
65,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,30-092,1993,8,4,418,4.6,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.8,4,22,7,0,0,0,0,0,0.1,0.08,0.18,0.1,0.18,Matches
66,Yoane Wissa,cd COD,FW,Brentford,27-044,1996,8,8,668,7.4,2,1,3,2,0,0,1,0,3.2,3.2,0.5,3.6,13,8,36,0.27,0.13,0.4,0.27,0.4,0.42,0.06,0.49,0.42,0.49,Matches
67,Fabian Schär,ch SUI,DF,Newcastle Utd,31-301,1991,8,8,720,8,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,1,23,2,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
68,Manuel Akanji,ch SUI,DF,Manchester City,28-090,1995,6,6,540,6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,26,6,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
69,Zeki Amdouni,ch SUI,"FW,MF",Burnley,22-317,2000,7,7,463,5.1,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.7,10,10,14,0.19,0,0.19,0.19,0.19,0.27,0.06,0.32,0.27,0.32,Matches
70,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,25-319,1997,4,4,296,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2,9,2,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
71,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23-243,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,3,4,0,0,0,0,0,0.34,0.07,0.41,0.34,0.41,Matches
72,Maxwel Cornet,ci CIV,MF,West Ham,27-020,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,30-297,1992,7,7,531,5.9,0,2,2,0,0,0,2,0,0,0,0.4,0.5,7,26,19,0,0.34,0.34,0,0.34,0.01,0.07,0.08,0.01,0.08,Matches
74,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,20-321,2002,5,3,318,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,7,9,13,0,0,0,0,0,0.08,0.13,0.2,0.08,0.2,Matches
75,Willy Boly,ci CIV,DF,Nott'ham Forest,32-256,1991,7,7,608,6.8,1,0,1,1,0,0,1,0,1,1,0.8,1.8,2,13,1,0.15,0,0.15,0.15,0.15,0.15,0.11,0.27,0.15,0.27,Matches
76,Simon Adingra,ci CIV,"FW,MF",Brighton,21-289,2002,7,3,327,3.6,2,1,3,2,0,0,0,0,0.7,0.7,1.2,1.9,10,2,24,0.55,0.28,0.83,0.55,0.83,0.2,0.32,0.53,0.2,0.53,Matches
77,André Onana,cm CMR,GK,Manchester Utd,27-198,1996,8,8,720,8,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Joël Matip,cm CMR,DF,Liverpool,32-070,1991,6,6,508,5.6,0,0,0,0,0,0,0,0,0.4,0.4,0,0.5,5,24,0,0,0,0,0,0,0.08,0.01,0.08,0.08,0.08,Matches
79,Carlos Baleba,cm CMR,MF,Brighton,19-287,2004,3,1,112,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,3,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
80,Bryan Mbeumo,cm CMR,"FW,DF",Brentford,24-071,1999,8,8,720,8,4,0,4,2,2,2,1,0,4.7,3.1,1.2,4.3,23,30,69,0.5,0,0.5,0.25,0.25,0.59,0.15,0.73,0.39,0.54,Matches
81,Luis Sinisterra,co COL,"FW,MF",Bournemouth,24-122,1999,3,0,84,0.9,0,0,0,0,0,0,0,0,0,0,0.3,0.3,4,5,8,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
82,Davinson Sánchez,co COL,DF,Tottenham,27-127,1996,1,0,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
83,Jefferson Lerma,co COL,MF,Crystal Palace,28-357,1994,4,4,360,4,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,4,13,9,0,0,0,0,0,0.04,0.16,0.2,0.04,0.2,Matches
84,Jhon Durán,co COL,"FW,MF",Aston Villa,19-308,2003,6,0,73,0.8,2,0,2,2,0,0,2,0,0.7,0.7,0,0.7,4,2,4,2.47,0,2.47,2.47,2.47,0.9,0.02,0.91,0.9,0.91,Matches
85,Luis Díaz,co COL,"FW,MF",Liverpool,26-277,1997,8,7,544,6,2,0,2,2,0,0,0,0,2.4,2.4,0.7,3.1,20,15,51,0.33,0,0.33,0.33,0.33,0.4,0.11,0.51,0.4,0.51,Matches
86,Vladimír Coufal,cz CZE,DF,West Ham,31-056,1992,8,8,716,8,0,4,4,0,0,0,0,0,0,0,1.1,1.1,22,27,20,0,0.5,0.5,0,0.5,0,0.14,0.14,0,0.14,Matches
87,Tomáš Souček,cz CZE,MF,West Ham,28-232,1995,7,7,542,6,2,1,3,2,0,0,1,0,2.5,2.5,0.6,3.1,3,13,5,0.33,0.17,0.5,0.33,0.5,0.41,0.1,0.52,0.41,0.52,Matches
88,Bernd Leno,de GER,GK,Fulham,31-227,1992,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Thilo Kehrer,de GER,"DF,MF",West Ham,27-026,1996,3,0,21,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
90,Vitaly Janelt,de GER,MF,Brentford,25-160,1998,8,8,628,7,0,1,1,0,0,0,1,0,0.3,0.3,0.6,0.9,1,28,21,0,0.14,0.14,0,0.14,0.04,0.08,0.13,0.04,0.13,Matches
91,Mahmoud Dahoud,de GER,MF,Brighton,27-289,1996,5,3,246,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.4,0,7,2,0,0.37,0.37,0,0.37,0.03,0.14,0.16,0.03,0.16,Matches
92,Jordan Beyer,de GER,DF,Burnley,23-151,2000,6,6,502,5.6,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Kevin Schade,de GER,"FW,MF",Brentford,21-324,2001,5,3,257,2.9,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,3,9,18,0.35,0,0.35,0.35,0.35,0.25,0.15,0.4,0.25,0.4,Matches
94,Kai Havertz,de GER,"MF,FW",Arsenal,24-128,1999,8,5,463,5.1,1,1,2,0,1,1,3,0,1.6,0.8,0.7,1.5,8,21,26,0.19,0.19,0.39,0,0.19,0.31,0.13,0.44,0.16,0.28,Matches
95,Pascal Groß,de GER,MF,Brighton,32-124,1991,6,6,528,5.9,2,0,2,2,0,0,1,0,1.1,1.1,1.1,2.2,10,52,28,0.34,0,0.34,0.34,0.34,0.18,0.19,0.37,0.18,0.37,Matches
96,Mads Roerslev,dk DEN,DF,Brentford,24-115,1999,6,2,233,2.6,0,0,0,0,0,0,0,0,0,0,0.2,0.3,7,8,14,0,0,0,0,0,0.01,0.09,0.1,0.01,0.1,Matches
97,William Osula,dk DEN,FW,Sheffield Utd,20-074,2003,3,3,233,2.6,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,0,9,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
98,Mathias Jørgensen,dk DEN,DF,Brentford,33-177,1990,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1,1,0,0,0,0,0,0,4.48,4.48,0,4.48,Matches
99,Rasmus Højlund,dk DEN,FW,Manchester Utd,20-255,2003,5,4,357,4,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,5,5,29,0,0,0,0,0,0.23,0.03,0.26,0.23,0.26,Matches
100,Pierre Højbjerg,dk DEN,MF,Tottenham,28-073,1995,7,0,129,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,10,4,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
101,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,23-106,2000,2,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
102,Philip Billing,dk DEN,MF,Bournemouth,27-128,1996,8,8,690,7.7,0,0,0,0,0,0,0,0,1.4,1.4,0.6,2,11,24,15,0,0,0,0,0,0.18,0.08,0.26,0.18,0.26,Matches
103,Christian Nørgaard,dk DEN,MF,Brentford,29-221,1994,8,8,670,7.4,1,1,2,1,0,0,2,0,1.3,1.3,0.4,1.7,0,47,14,0.13,0.13,0.27,0.13,0.27,0.18,0.06,0.23,0.18,0.23,Matches
104,Mads Juel Andersen,dk DEN,DF,Luton Town,25-294,1997,6,4,372,4.1,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,7,1,0.24,0,0.24,0.24,0.24,0.06,0,0.06,0.06,0.06,Matches
105,Christian Eriksen,dk DEN,MF,Manchester Utd,31-245,1992,7,3,377,4.2,1,1,2,1,0,0,0,0,0.4,0.4,0.4,0.8,8,23,14,0.24,0.24,0.48,0.24,0.48,0.09,0.1,0.18,0.09,0.18,Matches
